label,count
Agriculture forestry and fisheries,52.0
Mining,3.3
Manufacturing,4.5
Provision of electricity gas steam,0.8
Water supply purification treatment of waste and receipt of secondary raw materials,2.1
Building,35.4
Wholesale and retail trade repair of cars and motorcycles,26.6
Transport activities and storage of goods,15.0
Activity of hotels and restaurants,7.8
Information and communication,0.7
Financial intermediation and insurance,1.1
Operations with real estate,0.0
Professional scientific technical activity,1.1
Administrative and support activities,1.0
Public administration,5.2
Education,16.0
Public health and social services,5.1
Art Entertainment and Recreation,2.0
Other servicing activities,1.2
Activities of private households,5.5
