Sector,Thousands
"Agriculture, forestry and fisheries",3.3
Mining,0.0
Manufacturing (manufacturing),68.1
Provision of electricity gas steam,7.5
Water supply purification treatment of waste and receipt of secondary raw materials,5.2
Building,32.3
Wholesale and retail trade; repair of cars and motorcycles,97.9
Transport activities and storage of goods,41.0
Activity of hotels and restaurants,20.3
Information and communication,14.5
Financial intermediation and insurance,9.5
Operations with real estate,6.8
"Professional, scientific technical activity",3.4
Administrative and support activities,5.1
Public administration,31.3
Education,46.8
Public health and social services,19.4
"Art, Entertainment and Recreation",2.7
Other servicing activities,26.1
Activities of private households,0.8
,
