Sector,Thousands
"Agriculture, forestry and fisheries",61.2
Mining,1.6
Manufacturing (manufacturing),50.7
Provision of electricity gas steam,4.8
Water supply purification treatment of waste and receipt of secondary raw materials,1.3
Building,39.9
Wholesale and retail trade; repair of cars and motorcycles,46.2
Transport activities and storage of goods,26.7
Activity of hotels and restaurants,10.3
Information and communication,2.5
Financial intermediation and insurance,2.8
Operations with real estate,1.1
"Professional, scientific technical activity",2.3
Administrative and support activities,3.0
Public administration,14.0
Education,25.2
Public health and social services,13.9
"Art, Entertainment and Recreation",1.7
Other servicing activities,6.2
Activities of private households,2.2
