Sector,Thousands
"Agriculture, forestry and fisheries",130.6
Mining,0.6
Manufacturing (manufacturing),21.8
Provision of electricity gas steam,6.5
Water supply purification treatment of waste and receipt of secondary raw materials,0.3
Building,69.5
Wholesale and retail trade; repair of cars and motorcycles,49.2
Transport activities and storage of goods,23
Activity of hotels and restaurants,16.9
Information and communication,2.2
Financial intermediation and insurance,5.3
Operations with real estate,0
"Professional, scientific technical activity",3.6
Administrative and support activities,1.2
Public administration,13.2
Education,34.9
Public health and social services,15.3
"Art, Entertainment and Recreation",4.3
Other servicing activities,4.3
Activities of private households,0
