Sector,Thousands
"Agriculture, forestry and fisheries",39.2
Mining,2.2
Manufacturing (manufacturing),1.2
Provision of electricity gas steam,0.3
Water supply purification treatment of waste and receipt of secondary raw materials,0.8
Building,3.1
Wholesale and retail trade; repair of cars and motorcycles,5.0
Transport activities and storage of goods,3.8
Activity of hotels and restaurants,0.5
Information and communication,0.3
Financial intermediation and insurance,0.7
Operations with real estate,0.0
"Professional, scientific technical activity",0.8
Administrative and support activities,0.1
Public administration,4.6
Education,15.9
Public health and social services,3.5
"Art, Entertainment and Recreation",0.9
Other servicing activities,1.4
Activities of private households,0.0
Activities of extraterritorial organizations,0.2
