Sector,Thousands
"Agriculture, forestry and fisheries",225.1
Mining,0.0
Manufacturing (manufacturing),18.1
Provision of electricity gas steam,5.7
Water supply purification treatment of waste and receipt of secondary raw materials,6.3
Building,52.4
Wholesale and retail trade; repair of cars and motorcycles,92.4
Transport activities and storage of goods,36.1
Activity of hotels and restaurants,31.9
Information and communication,5.4
Financial intermediation and insurance,1.3
Operations with real estate,0.0
"Professional, scientific technical activity",1.3
Administrative and support activities,1.5
Public administration,14.7
Education,33.9
Public health and social services,15.2
"Art, Entertainment and Recreation",1.2
Other servicing activities,1.5
Activities of private households,6.5
,
