Sector,Thousands
"Agriculture, forestry and fisheries",0.6
Mining,0.2
Manufacturing (manufacturing),5.0
Provision of electricity gas steam,1.2
Water supply purification treatment of waste and receipt of secondary raw materials,1.1
Building,20.6
Wholesale and retail trade; repair of cars and motorcycles,21.9
Transport activities and storage of goods,10.3
Activity of hotels and restaurants,7.7
Information and communication,2.1
Financial intermediation and insurance,3.7
Operations with real estate,0.0
"Professional, scientific technical activity",1.0
Administrative and support activities,0.2
Public administration,4.6
Education,9.8
Public health and social services,2.6
"Art, Entertainment and Recreation",1.4
Other servicing activities,2.2
Activities of private households,1.2
